OVMM,Secteur,Type,Sorte,Longueur,LongueurUnit,Largeur,LargeurUnit,Epaisseur,EpaisseurUnit,Diameter,DiameterUnit,Grade,GradeUnit,Format,Keywords,Couleur,Fabricant,Dure de vie,Commentaires
OVMMAG56649,Air/Gaz,Filtre a air,Tampon Cellule,11,IN (inch),11,IN (inch),1,IN (inch),,,,,Carre,Celldustlock,,,,
OVMMAG56804,Air/Gaz,Filtre a air,Tampon Cellule,12,IN (inch),24,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56770,Air/Gaz,Filtre a air,Tampon Cellule,13,IN (inch),15,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56775,Air/Gaz,Filtre a air,Tampon Cellule,16,IN (inch),20,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56776,Air/Gaz,Filtre a air,Tampon Cellule,16,IN (inch),25,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56785,Air/Gaz,Filtre a air,Tampon Cellule,20,IN (inch),22,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56778,Air/Gaz,Filtre a air,Tampon Cellule,20,IN (inch),20,IN (inch),1,IN (inch),,,,,Carre,Celldustlock,,,,
OVMMAG56780,Air/Gaz,Filtre a air,Tampon Cellule,25,IN (inch),20,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56835,Air/Gaz,Filtre a air,Tampon Cellule,25,IN (inch),40,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56650,Air/Gaz,Filtre a air,Tampon Cellule,29,IN (inch),,,,,,,,,,,,,,
OVMMAG56781,Air/Gaz,Filtre a air,Tampon Cellule,30,IN (inch),27,IN (inch),1,IN (inch),,,,,Rectangulaire,Celldustlock,,,,
OVMMAG56805,Air/Gaz,Filtre a air,Tampon Cellule,39,IN (inch),,,,,,,,,,,,,,
OVMMAG56802,Air/Gaz,Filtre a air,Tampon Cellule,48,IN (inch),30,IN (inch),,,,,,,,,,,,
OVMMAG56792,Air/Gaz,Filtre a air,Tampon Cellule,70,IN (inch),30,IN (inch),,,,,,,,,,,,
OVMMAG56651,Air/Gaz,Filtre a air,Tampon Cellule,8,IN (inch),8,IN (inch),,,,,,,Carre,,,,,
OVMMAG58034,Air/Gaz,Filtre a air,Tampon Cellule,24,IN (inch),24,IN (inch),1,IN (inch),,,,,Carre,Celldustlock,,ABRASICORP,,
OVMMAG58077,Air/Gaz,Filtre a air,Tampon Cellule,19,IN (inch),19,IN (inch),1,IN (inch),,,,,Carre,Celldustlock,,FIBREBOND DFM 4,,
OVMMAG56648,Air/Gaz,Filtre a air,Tampon,10,IN (inch),,,,,,,,,,,,,,
OVMMAG56800,Air/Gaz,Filtre a air,Tampon,10,IN (inch),,,,,,,,,,,,,,
OVMMAG56803,Air/Gaz,Filtre a air,Tampon,10,IN (inch),14,IN (inch),1,IN (inch),,,,,Tube,Dual-Ply,,,,
OVMMAG56765,Air/Gaz,Filtre a air,Tampon,10,IN (inch),,,,,,,,,,,,,,
OVMMAG56767,Air/Gaz,Filtre a air,Tampon,11,IN (inch),,,,,,,,,,,,,,
OVMMAG56766,Air/Gaz,Filtre a air,Tampon,,,,,1,IN (inch),11,IN (inch),,,Rond,Dual-Ply,,,,
OVMMAG56647,Air/Gaz,Filtre a air,Tampon,12,IN (inch),,,,,,,,,,,,,,
OVMMAG56768,Air/Gaz,Filtre a air,Tampon,12,IN (inch),12,IN (inch),1,IN (inch),,,,,Carre,Dual-Ply,,,,
OVMMAG56769,Air/Gaz,Filtre a air,Tampon,13,IN (inch),,,,,,,,,,,,,,
OVMMAG56639,Air/Gaz,Filtre a air,Tampon,13,IN (inch),21,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56771,Air/Gaz,Filtre a air,Tampon,13,IN (inch),29,IN (inch),,,,,,,,,,,,
OVMMAG56773,Air/Gaz,Filtre a air,Tampon,14,IN (inch),16,IN (inch),,,,,,,,,,,,
OVMMAG56774,Air/Gaz,Filtre a air,Tampon,15,IN (inch),21,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56801,Air/Gaz,Filtre a air,Tampon,21,IN (inch),,,,,,,,,,,,,,
OVMMAG56779,Air/Gaz,Filtre a air,Tampon,23,IN (inch),,,,,,,,,,,,,,
OVMMAG56808,Air/Gaz,Filtre a air,Tampon,25,IN (inch),9,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois ,
OVMMAG56812,Air/Gaz,Filtre a air,Tampon,25,IN (inch),32,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56653,Air/Gaz,Filtre a air,Tampon,28,IN (inch),7,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56655,Air/Gaz,Filtre a air,Tampon,29,IN (inch),8,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56658,Air/Gaz,Filtre a air,Tampon,29,IN (inch),47,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56783,Air/Gaz,Filtre a air,Tampon,30,IN (inch),37,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56784,Air/Gaz,Filtre a air,Tampon,31,IN (inch),46,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56807,Air/Gaz,Filtre a air,Tampon,32,IN (inch),9,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56657,Air/Gaz,Filtre a air,Tampon,35,IN (inch),7,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56793,Air/Gaz,Filtre a air,Tampon,36,IN (inch),63,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG57106,Air/Gaz,Filtre a air,Tampon,36,IN (inch),16,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56806,Air/Gaz,Filtre a air,Tampon,39,IN (inch),7,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56786,Air/Gaz,Filtre a air,Tampon,4,IN (inch),,,,,,,,,,,,,,
OVMMAG56794,Air/Gaz,Filtre a air,Tampon,40,IN (inch),46,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56654,Air/Gaz,Filtre a air,Tampon,44,IN (inch),9,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56782,Air/Gaz,Filtre a air,Tampon,45,IN (inch),28,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56656,Air/Gaz,Filtre a air,Tampon,46,IN (inch),6,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56811,Air/Gaz,Filtre a air,Tampon,47,IN (inch),7,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG56787,Air/Gaz,Filtre a air,Tampon,50,IN (inch),48,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56788,Air/Gaz,Filtre a air,Tampon,6,IN (inch),,,,,,,,,,,,,,
OVMMAG57104,Air/Gaz,Filtre a air,Tampon,63,IN (inch),10,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56791,Air/Gaz,Filtre a air,Tampon,7,IN (inch),,,,,,,,,,,,,,
OVMMAG56789,Air/Gaz,Filtre a air,Tampon,7,IN (inch),13,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,,
OVMMAG56810,Air/Gaz,Filtre a air,Tampon,7,IN (inch),32,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG57925,Air/Gaz,Filtre a air,Tampon,8,IN (inch),,,,,,,,,,,,,,
OVMMAG56652,Air/Gaz,Filtre a air,Tampon,9,IN (inch),,,,,,,,,,,,,,
OVMMAG56809,Air/Gaz,Filtre a air,Tampon,9,IN (inch),26,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,,,2 Filtres Au 3 Mois Pour Sous-sol Du Placage,
OVMMAG57949,Air/Gaz,Filtre a air,Tampon,11,IN (inch),11,IN (inch),1,IN (inch),,,,,Carre,Dual-Ply,,ABRASICORP,,
OVMMAG58660,Air/Gaz,Filtre a air,Tampon,36,IN (inch),60,IN (inch),1,IN (inch),,,,,Rouleau,PAINT POCKET,VERT,ABRASICORP,,SORTIR DU CATALOGUE LORSQUE LE ROULEAU  EST CONSOMMÉ AU COMPLET ***    CODER AU ROULEAU
OVMMAG58114,Air/Gaz,Filtre a air,Tampon,40,IN (inch),50,IN (inch),1,IN (inch),,,,,Rouleau,PAINT POCKET,BLANC,ABRASICORP,,
OVMMAG58751,Air/Gaz,Filtre a air,Tampon,48,IN (inch),60,IN (inch),1,IN (inch),,,,,Rouleau,PAINT POCKET,PEINTURE ,PAINT POCKET GREEN,,SORTIR DU CATALOGUE LORSQUE LE ROULEAU  EST CONSOMMÉ AU COMPLET ***    CODER AU ROULEAU
OVMMAG56813,Air/Gaz,Filtre a air,Tampon,32,IN (inch),9,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply FP-100,BLEU,,,
OVMMAG56814,Air/Gaz,Filtre a air,Tampon,44,IN (inch),9,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply FP-100,BLEU,,,
OVMMAG56790,Air/Gaz,Filtre a air,Tampon,,,,,1,IN (inch),7,IN (inch),,,Rond,Dual-Ply,,,,
OVMMAG56772,Air/Gaz,Filtre a air,Tampon,13,IN (inch),49,IN (inch),,,,,,,,,,,,
OVMMAG57593,Air/Gaz,Filtre a air,Tampon,19,IN (inch),20,IN (inch),1,IN (inch),,,,,Rectangulaire,Dual-Ply,ORANGE,ABRASICORP,,
OVMMAG57592,Air/Gaz,Filtre a air,Tampon,20,IN (inch),,,,,,,,,,,,,,
OVMMAG57591,Air/Gaz,Filtre a air,Tampon,31,IN (inch),,,,,,,,,,,,,,
OVMMAG57329,Air/Gaz,Filtre a air,Nid d'abeille ,96,IN (inch),42,IN (inch),1,IN (inch),,,,,Rouleau,Columbus,,J-AIR-SIMARD,,
OVMMAG57693,Air/Gaz,Filtre a air,Sac,32,IN (inch),,,,,7,IN (inch),1,Micron (um),Poche,POLYPROPYLENE,,POF 1P2SH,,DÉSACTIVÉE A LA DEMANDE DE F.RENAUD 15/05/2015    REMPLACÉ PAR 9316T61 - OVMMPO52263  
OVMMAG57692,Air/Gaz,Filtre a air,Sac,32,IN (inch),,,,,7,IN (inch),5,Micron (um),Poche,POLYPROPYLENE,,POF 5 P2SH,,DISACTIVÉE A LA DEMANDE DE F.RENAUD 15/05/2015    REMPLACÉ PAR (PE5P2SH)    
OVMMAG56797,Air/Gaz,Filtre a air,Pli,14,IN (inch),20,IN (inch),1,IN (inch),,,,,Ondule,PREPLEAT,,,,
OVMMAG56795,Air/Gaz,Filtre a air,Pli,16,IN (inch),20,IN (inch),1,IN (inch),,,,,Ondule,PREPLEAT,,,,
OVMMAG56796,Air/Gaz,Filtre a air,Pli,16,IN (inch),20,IN (inch),2,IN (inch),,,,,Ondule,DURAPLEAT,,,,
OVMMAG56777,Air/Gaz,Filtre a air,Pli,18,IN (inch),18,IN (inch),2,IN (inch),,,,,Ondule,DURAPLEAT,,,,
OVMMAG57631,Air/Gaz,Filtre a air,Pli,18,IN (inch),20,IN (inch),2,IN (inch),,,,,Ondule,DURAPLEAT,,ABRASICORP,,
OVMMAG57227,Air/Gaz,Filtre a air,Pli,18,IN (inch),18,IN (inch),1,IN (inch),,,,,Ondule,PREPLEAT,,,UTILISATION : 1 / MOIS,
OVMMAG57630,Air/Gaz,Filtre a air,Pli,20,IN (inch),20,IN (inch),2,IN (inch),,,,,Ondule,DURAPLEAT ,,ABRASICORP,,
OVMMAG57114,Air/Gaz,Filtre a air,Pli,24,IN (inch),24,IN (inch),2,IN (inch),,,,,Ondule,PREPLEAT,,,,
